avgclust	dassortc	tran
0.6855669512971047	-0.10422605375078796	0.2445332109267416
0.6855669512971047	-0.10435946647610853	0.2445332109267416
0.6855669512971047	-0.10435946647610853	0.2445332109267416
0.6855669512971047	-0.10435946647610853	0.2445332109267416
0.6855669512971047	-0.10435946647610853	0.2445332109267416
0.6855669512971047	-0.10435946647610853	0.2445332109267416
0.6855669512971047	-0.10435946647610853	0.2445332109267416
0.6855669512971047	-0.10427234248739697	0.2445332109267416
0.6855669512971047	-0.1042311396482685	0.2445332109267416
0.6855669512971047	-0.1042311396482685	0.2445332109267416
0.6855669512971047	-0.1042311396482685	0.2445332109267416
0.6856219732801629	-0.10416645228191625	0.24475572258284933
0.6856219732801629	-0.10408835120104035	0.24475572258284933
0.6856219732801629	-0.10408835120104035	0.24475572258284933
0.6842060236605052	-0.10397265766021853	0.24471272556922988
0.6842060236605052	-0.10358305578377121	0.24471272556922988
0.6842060236605052	-0.10358305578377121	0.24471272556922988
