1 0,003356456756591797 0,0004971027374267578 0,0038535594940185547
10 0,011253595352172852 0,003840923309326172 0,015094518661499023
100 0,09328508377075195 0,03545713424682617 0,12874221801757812
1000 0,957589864730835 0,47751617431640625 1,4351060390472412
10000 10,179323196411133 5,039090156555176 15,218413352966309
100000 102,11302042007446 54,517942667007446 156,6309630870819
