bhuman/GameController	jankotek/mapdb	junit-team/junit	ornicar/lila	niklasf/python-chess	
1	4	40	1	0	
1	4	40	1	0	
1	5	41	2	0	
1	5	42	2	0	
1	5	43	2	0	
1	3	43	2	0	
1	5	43	2	0	
1	4	43	2	0	
1	4	44	2	0	
1	4	44	2	0	
1	4	47	2	0	
1	4	48	2	0	
1	4	48	2	0	
1	4	49	2	0	
1	5	49	2	0	
1	7	49	2	0	
1	8	49	2	0	
1	9	51	2	0	
1	10	50	2	0	
1	10	51	2	0	
1	7	51	2	0	
1	8	51	2	0	
1	9	51	2	0	
1	9	51	2	0	
1	9	51	2	0	
1	10	51	3	0	
1	10	51	2	0	
1	12	51	2	0	
1	12	51	2	0	
1	13	51	2	0	
1	27	51	2	0	
1	27	51	2	0	
1	23	51	2	0	
1	24	51	2	0	
1	23	51	3	0	
1	21	51	3	0	
1	21	51	2	0	
1	24	51	2	0	
1	22	51	2	0	
0	23	51	2	0	
0	22	52	2	0	
0	22	52	2	0	
2	24	52	2	0	
0	27	53	2	0	
0	27	53	2	0	
1	24	53	2	0	
1	24	53	2	0	
1	26	53	4	0	
1	26	53	2	0	
1	25	53	2	0	
1	26	53	2	0	
1	26	53	2	0	
1	26	54	2	0	
1	25	55	2	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	56	3	0	
1	26	57	3	0	
1	27	57	3	0	
2	27	57	3	0	
2	27	58	3	0	
2	27	58	3	0	
2	27	58	3	0	
2	27	59	3	0	
2	27	60	3	0	
3	27	60	3	0	
3	27	61	3	0	
2	27	61	3	0	
2	27	61	3	0	
2	27	61	3	0	
2	28	61	3	0	
2	28	61	3	0	
2	26	61	3	0	
2	20	62	3	0	
2	20	62	3	0	
2	20	62	3	0	
2	21	62	4	0	
2	21	63	4	0	
2	21	64	4	0	
2	21	65	4	0	
2	20	65	4	0	
2	21	65	4	0	
2	22	65	4	0	
2	20	66	4	0	
2	20	68	4	0	
2	20	69	4	0	
3	14	71	4	0	
2	14	71	4	0	
2	13	71	4	0	
2	17	71	4	0	
2	16	71	4	0	
2	16	72	4	0	
2	16	72	4	0	
2	14	72	4	0	
2	14	73	4	0	
2	14	73	4	0	
2	15	73	4	0	
2	16	73	4	0	
2	15	73	5	0	
2	14	73	5	0	
2	14	73	5	0	
2	14	73	5	0	
2	15	73	5	0	
2	16	73	5	0	
2	16	73	5	0	
2	17	74	4	0	
2	15	74	4	0	
2	15	75	5	0	
2	15	75	5	0	
2	16	75	4	0	
2	15	75	4	0	
2	15	75	5	0	
2	16	75	5	0	
2	16	75	5	1	
2	16	75	5	1	
2	16	76	5	1	
2	16	76	5	1	
2	16	76	5	1	
2	16	76	5	2	
2	16	76	5	2	
2	16	76	5	2	
2	16	76	5	2	
2	16	75	5	2	
2	17	75	5	2	
2	17	75	6	2	
2	15	75	6	2	
2	15	75	6	2	
2	15	75	6	2	
2	17	75	6	2	
2	15	75	6	2	
2	15	75	6	2	
2	16	75	6	2	
2	16	75	6	2	
2	16	75	6	2	
2	16	75	6	2	
2	16	75	6	2	
2	16	75	6	2	
2	16	75	6	2	
2	16	75	6	2	
2	16	75	6	3	
2	17	76	6	3	
2	16	77	6	3	
2	16	77	6	3	
2	16	77	6	3	
2	18	78	6	3	
2	19	78	6	3	
2	18	78	6	3	
2	18	75	6	3	
2	14	75	5	3	
2	14	75	4	3	
